species	SYN001.A0101	SYN002.A0101	SYN003.A0101	SYN015.B0101	SYN015.D0101	SYN015.E0101	SYN017.A0101	SYN017.B0101	SYN018.C0101	SYN005.I0101	SYN006.I0101	SYN008.I0101	SYN009.I0101	SYN015.I0101	SYN018.I0101	SYN019.I0101	SYN022.I0101	SYN023.I0101	SYN025.I0101	SYN028.I0101
Streptococcus sp. I-G2	24588	39091	25606	6753	566	295	17912	8679	3908	0	0	191	148	85	193	144	0	79	0	245
Streptococcus sp. FDAARGOS_192	15321	18160	18865	13150	821	844	37681	43911	14694	214	741	236	3034	1006	460	2898	665	341	685	3078
Streptococcus sp. 116-D4	11682	29755	25857	2821	116	153	14116	2579	2109	1659	821	0	164	0	692	0	0	1116	0	716
Streptococcus sp. NPS 308	9494	22196	21056	6182	351	576	36540	4499	2865	412	237	0	81	110	677	167	0	348	150	820
Streptococcus sp. HSISS3	9415	11476	10722	4278	337	369	15798	12575	4713	210	560	168	1662	629	100	1317	317	438	347	1214
Streptococcus sp. 1643	7460	19252	17432	4878	201	384	42948	3738	2276	907	436	329	96	133	111	76	0	673	102	1062
Streptococcus sp. oral taxon 064	6436	13440	11724	3766	101	222	42743	6176	1304	0	0	89	0	0	0	0	0	82	0	680
Streptococcus sp. HSISS2	4835	6683	6386	3793	279	216	11090	11146	3874	88	238	114	480	271	0	591	155	107	156	787
Streptococcus sp. HSISS1	1996	2688	2612	1559	121	96	4301	4404	1530	0	87	0	257	97	0	301	0	0	0	326
Streptococcus sp. zg-86	574	1093	817	275	0	0	638	412	230	111	85	0	0	0	248	0	0	75	0	0
Streptococcus sp. KS 6	558	967	756	1379	405	274	1266	1864	66551	223576	104961	1516	13155	3735	34682	597	1589	148425	1426	79286
Streptococcus sp. NSJ-72	475	869	717	343	279	421	422	862	3817	12447	16485	905	3572	3213	205970	971	484	8478	6156	8426
Streptococcus sp. FDAARGOS_522	162	236	216	107	0	0	193	136	165	0	0	0	0	0	0	0	0	0	0	0
Streptococcus sp. DAT741	147	233	185	0	140	89	159	0	102	276	138	157	149	133	195	84	0	296	131	204
Streptococcus salivarius	430759	540593	644768	485154	24887	20124	1164675	1436735	500340	6614	17993	6757	56314	23572	3245	63643	15556	8943	18892	80414
Streptococcus parasanguinis	274474	369910	328424	483948	29258	15778	304048	289386	251008	706	863	1186	5621	2691	908	5088	1493	1389	3268	7613
Streptococcus australis	120285	210314	134084	22756	1755	1250	79572	24385	13330	1057	613	461	582	520	1001	795	243	921	374	1490
Streptococcus pneumoniae	26513	63196	58340	10731	614	837	50920	19475	10849	3053	1617	350	536	424	3523	529	206	2240	801	2050
Streptococcus koreensis	25173	39631	26441	5827	441	218	18279	7754	3554	546	261	0	145	77	113	131	0	370	0	402
Streptococcus equinus	20287	25636	22941	7336	746	910	34093	24938	8588	742	1203	222	3408	919	1263	3003	564	806	615	2411
Streptococcus thermophilus	17538	23473	23265	14263	979	893	37934	39501	16974	2031	2102	605	2688	1259	3439	2748	822	1831	1303	3594
Streptococcus anginosus	2850	4528	3645	3212	1687	1439	4128	10080	342677	1085041	516582	6030	65406	22731	286513	2773	8072	727883	10852	386205
Streptococcus constellatus	1396	1832	1388	762	903	1090	1412	1558	10043	37931	44260	7287	10743	9805	515370	2926	2204	29146	16351	25315
Streptococcus vestibularis	8035	10830	10635	5166	363	331	18838	15879	5542	281	546	96	1092	420	255	1135	253	418	271	1162
Streptococcus gwangjuense	7544	17352	18665	1483	79	77	18889	2214	1427	648	336	0	81	0	426	0	0	475	0	425
Streptococcus suis	5029	10466	7973	3014	598	407	7398	5324	3779	4814	2675	1002	1075	973	5018	446	489	4380	779	2690
Streptococcus pseudopneumoniae	4791	11695	11255	794	0	74	7134	858	552	112	0	0	0	0	0	0	0	80	0	114
Streptococcus equi	1484	2592	2243	1654	1231	797	2306	2201	2603	6816	4479	5948	3288	3339	6696	1653	1813	8956	2941	5837
Streptococcus dysgalactiae	893	1576	1392	1596	377	206	1926	2436	3299	2926	2114	2253	1744	1598	7659	1122	817	3996	1610	2268
Streptococcus merionis	1218	1931	1481	1169	290	137	1334	1082	1077	981	538	306	185	187	476	120	89	789	134	460
Streptococcus pyogenes	1210	2338	2036	1219	747	223	1650	1310	1616	3357	2067	1916	1311	955	4807	1089	713	3445	1985	2082
Streptococcus pluranimalium	1152	2296	1707	541	77	41	1337	1062	564	399	290	103	146	146	958	99	0	389	97	242
Streptococcus himalayensis	993	2099	1524	433	51	0	1263	680	534	790	553	0	127	81	3316	0	0	537	171	397
Streptococcus mutans	854	1666	1454	1576	254	283	1830	2681	4790	2404	1638	0	715	1137	4847	331	419	2460	844	2104
Streptococcus sobrinus	851	1663	1329	465	242	190	1345	1001	688	652	382	247	287	217	445	184	112	513	139	424
Streptococcus periodonticum	754	2439	1632	0	0	35	192	551	24614	74394	35426	0	4389	1107	29818	131	349	48530	666	26130
Streptococcus porcinus	725	1150	1132	1705	638	374	1730	2106	4301	1996	2283	1719	1492	1448	1635	575	931	3725	1432	1777
Streptococcus canis	718	1334	1166	459	116	39	1179	986	560	898	443	1197	272	195	766	201	189	761	292	726
Streptococcus pseudoporcinus	673	1157	970	643	726	138	767	702	1026	2854	1489	815	1770	721	6570	1599	946	2317	3148	1516
Streptococcus agalactiae	655	1443	984	661	122	108	877	752	1914	3831	2418	1210	964	978	11160	323	358	3954	734	2061
Streptococcus iniae	653	1246	1027	224	0	0	644	427	355	427	282	0	117	195	602	155	0	453	114	345
Streptococcus respiraculi	641	1273	970	377	104	44	856	613	591	1150	660	433	205	174	392	112	132	1009	207	597
Streptococcus acidominimus	573	1082	911	344	0	0	729	558	568	718	392	108	81	0	326	0	0	498	0	314
Streptococcus milleri	573	777	618	327	373	587	691	1296	61497	197153	103488	251	13657	5597	244306	1063	1201	129954	7076	73428
Streptococcus gallolyticus	533	1096	945	310	0	0	775	753	1725	3587	1692	0	189	0	1601	0	0	2427	0	1415
Streptococcus ratti	527	964	832	328	0	0	795	498	420	519	355	0	87	73	1639	0	0	410	0	253
Streptococcus uberis	490	1003	768	424	46	42	724	530	297	175	179	117	103	80	561	90	0	103	96	126
Streptococcus halotolerans	482	1070	771	266	0	0	543	488	330	579	295	0	74	0	492	0	0	401	0	218
Streptococcus urinalis	419	914	772	223	165	96	665	439	299	279	211	92	207	194	497	100	96	394	153	262
Streptococcus chenjunshii	408	711	637	290	0	0	701	431	270	182	107	0	88	0	509	0	0	143	106	130
Streptococcus ferus	384	812	558	189	0	0	604	417	256	393	265	0	77	0	1144	0	0	346	0	186
Streptococcus marmotae	352	862	579	140	0	0	429	203	185	137	78	110	0	0	186	0	0	0	0	0
Streptococcus troglodytae	309	565	413	125	0	0	481	278	243	278	159	0	79	0	832	0	0	248	0	181
Streptococcus infantarius	302	477	422	184	0	0	449	548	211	0	0	0	0	0	98	0	0	0	0	0
Streptococcus pantholopis	197	444	381	204	0	0	377	296	253	403	215	81	81	74	499	93	0	283	0	229
Streptococcus infantis	197	165	136	204	0	0	120	100	115	0	0	0	0	0	0	0	0	0	0	0
Streptococcus lutetiensis	141	264	212	0	0	0	175	200	0	0	0	0	0	0	232	0	0	0	0	0
Streptococcus viridans	74	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus garvieae	117	308	233	0	0	0	231	203	107	0	0	115	0	0	153	0	0	0	0	0
Lactococcus raffinolactis	101	174	127	0	0	0	143	163	91	91	0	85	0	0	0	0	0	0	0	0
Lactococcus taiwanensis	94	181	158	0	0	0	99	0	0	0	0	141	0	0	0	0	0	71	0	0
Lactococcus lactis	85	164	153	652	385	259	249	216	869	159	263	293	125	160	257	134	130	154	146	157
Aerococcus sanguinicola	362	640	494	0	0	0	854	667	258	0	0	0	0	0	0	85	0	0	0	0
Aerococcus urinaeequi	189	363	267	0	0	0	441	424	256	0	100	0	107	118	0	0	0	136	0	0
Aerococcus christensenii	115	208	154	0	0	0	257	229	114	91	0	227	94	0	159	0	0	99	96	0
Aerococcus urinaehominis	98	150	131	0	0	0	227	177	0	0	0	118	0	0	0	0	0	0	0	0
Aerococcus urinae	87	169	146	0	70	35	305	270	147	74	0	96	105	84	252	76	0	100	135	0
Suicoccus acidiformans	118	200	123	0	0	0	229	207	97	0	0	108	0	0	95	0	0	0	0	0
Enterococcus cecorum	552	980	835	388	149	53	1241	1115	664	219	333	706	287	278	279	215	203	260	315	211
Enterococcus faecium	381	463	455	6487	1495	1325	677	634	2775	4205	5187	9296	9117	9375	10725	5733	6107	1763	8511	3459
Enterococcus faecalis	345	593	547	3928833	988790	589372	945	777	1320060	1064077	2252028	1556007	1852548	1372891	2295577	2002476	1172856	465094	1201207	700241
Enterococcus avium	317	642	412	1298	1470	1183	1005	715	2149	293	390	342	435	451	402	372	353	589	377	362
Enterococcus durans	289	581	445	15733	3794	2283	811	678	5723	5021	9647	7854	7913	7131	11157	8049	5395	2180	6007	3264
Enterococcus mundtii	273	447	331	180	53	22957	514	327	406	130266	43230	467723	346261	494461	384657	203888	312735	43388	480087	120323
Enterococcus thailandicus	233	418	322	0	0	0	515	432	269	103	128	131	200	203	190	0	116	170	174	0
Enterococcus saigonensis	212	382	280	95	0	0	410	337	232	0	0	262	106	141	165	124	107	0	186	0
Enterococcus wangshanyuanii	179	325	310	162	48	34	389	304	229	90	133	194	142	108	113	106	0	0	108	0
Enterococcus hirae	131	274	224	285	69	81	234	229	199	296	299	635	572	694	717	348	451	165	614	287
Enterococcus rotai	91	189	136	120	45	0	192	134	117	0	0	221	101	0	123	100	0	0	155	0
Enterococcus casseliflavus	85	156	144	326	107	123	151	157	229	662	372	1664	990	1529	1679	743	951	193	1552	461
Vagococcus teuberi	452	836	697	0	0	0	1046	839	446	115	148	0	123	134	102	0	0	278	105	120
Vagococcus zengguangii	322	580	431	0	0	0	704	560	287	0	0	0	0	0	86	0	0	0	0	0
Vagococcus carniphilus	292	486	398	153	65	0	587	409	243	131	177	264	173	149	215	91	93	199	174	130
Vagococcus coleopterorum	274	451	365	155	0	0	520	450	237	0	0	0	0	0	0	0	0	0	0	0
Vagococcus sp. CF-49	229	465	361	128	62	0	528	437	246	248	322	250	215	261	224	0	110	493	153	157
Vagococcus hydrophili	222	401	289	0	0	0	530	408	199	108	129	0	124	75	140	0	0	181	129	0
Vagococcus penaei	153	338	278	0	0	0	334	205	136	0	0	154	0	0	0	0	0	0	0	0
Tetragenococcus osmophilus	110	216	151	0	0	0	355	297	187	0	0	0	0	0	92	0	0	0	0	0
Tetragenococcus halophilus	74	156	122	299	55	44	225	214	177	100	175	198	176	161	378	154	121	0	156	0
Melissococcus plutonius	84	134	107	115	0	0	216	242	101	123	165	177	88	77	137	72	101	109	145	207
Lactobacillus iners	112	177	185	254	74	80	139	284	409	729	607	419	505	696	461	188	321	1496	315	504
Lactobacillus jensenii	68	135	94	105	48	0	132	98	98	76	126	302	74	93	0	0	0	171	0	0
Weissella diestrammenae	151	300	232	0	0	0	407	360	134	0	0	0	0	0	0	0	0	0	0	0
Ligilactobacillus salivarius	221	412	332	378	188	84	677	303	780	567	590	974	320	247	262	124	149	667	260	311
Ligilactobacillus agilis	79	154	115	0	0	0	154	142	184	74	124	208	76	0	0	0	0	129	0	0
Companilactobacillus zhachilii	88	141	117	0	61	0	162	124	95	0	0	241	0	0	0	0	0	0	0	0
Companilactobacillus ginsenosidimutans	77	138	107	0	0	0	209	179	131	72	125	220	96	0	0	0	0	0	106	0
Latilactobacillus sakei	127	243	147	109	0	0	271	256	240	93	162	227	105	142	93	0	0	141	95	0
Latilactobacillus curvatus	112	161	130	0	0	0	213	169	142	92	0	330	149	248	209	111	148	67	239	0
Limosilactobacillus reuteri	155	280	222	420	558	559	722	1154	5906	896	2312	5849	777	186	754	221	112	142	183	468
Loigolactobacillus bifermentans	84	118	86	111	0	30	0	0	116	0	78	96	0	0	0	0	0	0	0	0
Loigolactobacillus coryniformis	69	106	109	139	119	63	247	280	282	87	0	110	173	186	81	79	0	158	0	165
Lactiplantibacillus paraplantarum	69	105	0	0	0	31	0	0	123	0	0	117	0	0	0	0	0	0	0	0
Lapidilactobacillus dextrinicus	78	130	133	0	0	0	178	166	0	0	0	0	0	0	0	0	0	0	0	0
Jeotgalibaca porci	430	665	572	153	64	0	877	702	352	150	147	468	109	133	149	0	96	260	165	134
Jeotgalibaca ciconiae	274	461	371	99	0	0	525	462	303	86	97	279	111	0	0	0	0	123	101	119
Jeotgalibaca arthritidis	90	147	146	0	0	0	228	174	109	0	0	0	0	0	0	0	0	0	0	0
Jeotgalibaca dankookensis	89	169	141	0	0	0	239	191	113	0	0	174	0	0	0	0	0	0	0	0
Carnobacterium divergens	395	648	453	126	58	0	681	634	355	81	78	199	124	82	173	89	97	107	170	0
Carnobacterium maltaromaticum	374	673	544	117	107	77	739	589	326	83	117	111	131	97	170	0	0	153	113	0
Carnobacterium sp. 17-4	144	288	259	0	0	0	505	464	201	0	0	0	0	0	149	0	0	0	0	0
Carnobacterium inhibens	173	344	276	0	0	0	385	300	135	0	0	0	0	0	0	0	0	0	96	0
Dolosigranulum pigrum	286	449	332	118	0	0	291	239	182	134	150	110	170	104	263	168	101	195	268	202
Gemella sanguinis	77514	158014	87459	3276	0	0	90505	28306	10424	0	0	171	0	0	0	0	0	0	0	0
Gemella haemolysans	8828	24660	19795	225	0	0	20516	1805	732	187	211	0	206	144	367	0	0	359	122	160
Gemella sp. oral taxon 928	270	146	191	314	410	227	386	225	341	1009	549	1461	862	772	667	611	613	1346	938	1501
Bacillus thuringiensis	129	234	175	154	252	503	287	213	187	495	527	1822	586	329	366	569	230	382	256	351
Bacillus cereus	83	153	133	131	4006	7361	216	207	171	2559	2999	19064	5291	1701	1236	6333	2159	748	1887	1499
Bacillus circulans	139	227	178	0	0	0	253	209	138	147	0	260	291	0	0	85	219	113	255	238
Bacillus cohnii	103	125	88	0	0	0	156	111	0	0	0	0	114	0	0	0	0	0	94	0
Bacillus pumilus	82	215	169	0	0	0	226	190	103	106	104	171	255	80	172	0	174	150	209	188
Bacillus horikoshii	73	107	83	0	0	0	118	91	0	0	0	0	159	0	0	0	114	0	148	130
Lysinibacillus sp. 2017	116	219	195	0	0	0	163	122	0	86	84	0	304	0	0	0	199	82	276	231
Lysinibacillus timonensis	80	119	99	0	0	0	171	175	0	139	153	0	297	134	80	0	186	249	242	208
Virgibacillus halodenitrificans	136	275	234	0	0	0	312	243	0	0	0	0	75	0	0	0	0	114	0	0
Priestia megaterium	110	150	139	160	70	0	196	165	126	198	177	276	347	158	98	146	260	258	407	394
Priestia flexa	83	95	0	112	51	0	102	106	0	0	0	260	141	0	0	0	106	0	147	106
Peribacillus asahii	75	93	0	0	0	0	137	94	0	0	0	0	180	0	0	0	119	0	141	117
Cytobacillus kochii	93	111	115	0	53	0	124	113	0	84	98	246	126	83	0	0	95	170	140	115
Staphylococcus aureus	127	190	165	265	61	57	228	183	223	251	299	159	293	218	318	138	168	204	252	237
Staphylococcus haemolyticus	106	120	105	0	0	0	153	129	0	179	194	253	215	155	131	0	117	322	164	174
Staphylococcus simiae	96	155	100	0	0	0	155	167	92	95	124	136	81	74	0	0	0	229	0	0
Staphylococcus pettenkoferi	83	135	106	0	0	0	154	170	115	114	158	0	168	175	0	0	0	276	98	110
Staphylococcus simulans	78	156	140	0	0	0	182	158	117	116	145	115	180	110	100	0	119	215	146	119
Staphylococcus saprophyticus	77	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
Staphylococcus hominis	75	0	0	169	58	0	96	0	0	205	251	162	235	196	299	109	124	500	211	196
Macrococcus canis	89	180	150	100	0	0	329	251	158	122	138	203	161	127	0	0	122	196	125	112
Mammaliicoccus sciuri	122	194	147	147	0	47	267	194	288	210	240	0	295	262	260	0	169	501	204	213
Paenibacillus protaetiae	98	153	77	0	58	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sporosarcina ureae	77	138	115	114	159	52	223	147	129	884	628	463	3641	368	270	125	2481	234	2958	2480
Ureibacillus thermosphaericus	99	193	149	0	0	0	306	206	0	0	0	0	141	0	0	0	114	0	143	108
Jeotgalibacillus malaysiensis	83	127	126	0	0	0	238	241	92	0	0	0	248	0	0	0	167	0	248	169
Viridibacillus sp. JNUCC-6	77	146	95	0	89	0	164	124	95	123	142	311	345	96	133	87	277	112	344	255
Listeria monocytogenes	193	347	245	135	55	32	410	329	239	286	374	251	378	316	252	108	228	448	284	274
Listeria welshimeri	78	127	106	0	0	0	123	100	0	0	0	0	92	0	0	0	0	0	0	99
Listeria ivanovii	73	113	104	0	0	0	0	0	0	102	108	109	126	113	0	0	0	253	0	105
Listeria weihenstephanensis	69	154	107	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0
Brochothrix thermosphacta	127	188	150	0	50	37	248	155	147	183	93	748	313	488	658	254	337	93	499	127
Thermoactinomyces vulgaris	119	183	113	0	0	0	229	198	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella nakazawae	11035	12480	10650	313883	17557	65573	246199	121343	234002	89615	35329	1135555	144192	141901	53000	24769	68417	105622	47911	61496
Veillonella dispar	5268	6391	5539	113027	6560	25162	127593	72029	99381	44781	30672	398784	64775	73414	35809	18109	48708	51330	42618	53418
Veillonella atypica	4181	2422	2647	394579	25001	184728	802536	207790	792843	24308	23349	96289	48161	35828	38427	42897	36694	30433	69209	36892
Veillonella rodentium	1724	1576	1639	5672	635	2514	24071	23344	18571	10796	20393	10831	13144	13719	10939	8230	21223	16415	23639	31280
Dialister pneumosintes	849	195	245	16183	3661	3002	2111	3004	31071	107448	111367	365	193239	22826	176729	16729	25317	90775	6710	171475
Dialister massiliensis	132	138	188	0	209	893	0	0	104	482	139	492	500	364	618	300	130	306	304	540
Selenomonas sp. oral taxon 478	397	244	290	491	1075	2599	0	548	1226	44517	664	0	98909	98321	14088	147756	43177	65276	127108	178203
Selenomonas sp. oral taxon 136	371	199	259	382	1251	2881	0	393	1029	45555	741	0	103724	103247	12774	155715	44754	64595	131129	159561
Selenomonas sp. oral taxon 920	358	336	340	100	102	430	0	101	619	3552	151	153	8912	7059	1314	17882	23588	32776	55220	40757
Selenomonas sp. oral taxon 126	308	243	323	112	347	507	0	92	545	3640	176	109	9203	8125	1303	16829	17821	25211	44168	37940
Selenomonas sp. Marseille-Q3039	306	268	329	117	230	355	121	136	587	3351	165	107	8216	6869	1094	14175	15822	22382	37672	29794
Selenomonas sputigena	1127	658	1467	332	343	915	159	255	1607	88541	11848	273	198189	66095	63523	64278	57287	136479	384432	153468
Mogibacterium diversum	15087	23458	19135	114797	17562	22318	8784	49132	199274	204013	72795	996005	192244	81026	33339	254331	86800	198332	34541	257005
Mogibacterium pumilum	1302	1976	1701	7240	4883	6045	2044	3072	11899	63159	11831	324449	65695	29706	12836	17993	26979	67494	8824	74284
Aminipila sp. CBA3637	159	163	244	423	56	51	91	262	187	121	0	335	586	163	191	160	86	286	487	163
Aminipila sp. JN-18	119	159	153	256	48	0	0	103	103	75	0	0	427	117	141	183	0	128	393	135
Aminipila butyrica	148	185	263	404	126	77	91	248	265	0	0	92	625	204	0	184	86	202	453	115
Lachnoanaerobaculum umeaense	3120	4477	8834	2202	2413	3163	1671	1198	4139	35474	19837	1485	7640	12694	1719	26343	6470	25209	19090	18978
Blautia sp. SC05B48	95	119	198	207	1116	482	250	103	296	984	375	430	1110	1731	0	1553	681	1430	1027	1695
Blautia producta	124	144	222	185	712	347	130	0	216	981	400	695	767	1292	112	900	566	1272	652	1447
Blautia argi	68	0	124	162	1076	406	0	99	207	934	344	215	906	1616	248	731	651	1335	520	1399
Butyrivibrio fibrisolvens	215	304	405	470	797	324	470	244	570	1562	899	583	1338	2024	350	1937	861	2381	1575	2300
Butyrivibrio hungatei	70	0	109	126	410	202	0	84	173	526	262	0	450	546	107	457	242	710	410	658
Lacrimispora saccharolytica	183	257	390	356	3052	1294	644	211	664	4162	1435	430	3296	6514	141	4439	2508	5665	2753	6895
Lacrimispora sphenoides	97	131	176	211	1062	453	175	111	257	729	259	267	909	1472	0	979	578	1163	738	1184
Lachnoclostridium phytofermentans	96	115	135	205	953	280	105	110	208	649	332	487	885	1141	202	725	507	1155	560	1026
[Clostridium] scindens	77	0	111	137	1528	564	133	87	290	987	315	159	1315	1975	0	1286	734	1592	862	1788
[Ruminococcus] gnavus	199	277	320	187	661	271	101	95	274	983	429	210	761	1397	0	850	549	1355	571	1523
[Ruminococcus] torques	97	167	224	235	765	312	345	157	330	1161	541	501	1010	1523	155	1599	578	1402	1201	1828
Coprococcus comes	83	0	143	169	603	203	218	98	342	1000	527	249	947	1618	92	1250	643	1562	838	1963
Roseburia hominis	100	106	167	184	2738	1079	184	0	298	1706	651	257	2297	3631	94	2042	1346	3061	1364	2824
Roseburia intestinalis	79	102	182	210	3169	1547	102	115	366	1678	671	218	2459	3604	206	2253	1428	3002	1290	2609
Pseudobutyrivibrio xylanivorans	164	212	279	300	1764	1035	0	169	281	1017	527	219	1541	1935	188	1004	677	1757	832	1380
Anaerostipes hadrus	81	141	196	236	273	119	233	105	299	775	382	297	619	950	208	980	395	971	822	1264
Enterocloster bolteae	81	127	139	179	1840	582	303	94	286	1332	476	277	1751	2683	142	1817	1037	2191	1242	2183
Lachnospira eligens	96	146	211	340	522	265	258	155	378	908	442	538	715	1047	687	1282	551	1154	1160	1631
Filifactor alocis	732	563	792	821	750	411	241	342	1042	1684	1127	643	871	682	1593	910	500	1936	1923	1451
Clostridioides difficile	358	404	548	1807	494	199	1703	2436	4071	5058	2759	1735	1316	967	1302	650	828	4424	1559	2953
Romboutsia sp. CE17	89	0	139	561	47	31	486	808	1024	104	129	97	97	0	212	92	0	180	225	173
Peptacetobacter hiranonis	176	188	321	1282	136	67	1137	1875	2503	149	296	202	259	119	242	177	123	471	566	324
Clostridium perfringens	70	91	112	474	352	39	175	170	919	27267	15976	79724	18838	260	509	236	14961	21639	58500	43191
Hungatella hathewayi	86	162	214	143	1768	598	382	0	322	1832	655	108	2011	3347	0	2298	1194	2771	1480	3225
Faecalibacterium prausnitzii	193	331	474	662	5136	2033	1397	417	1632	7645	3719	833	7195	12230	695	8102	4615	11772	5735	12209
[Eubacterium] cellulosolvens	87	121	154	184	1611	643	181	88	323	1473	771	224	1562	2663	131	1565	960	2429	1165	2435
Parvimonas micra	6219	3131	3311	2065	2085	2369	1379	2006	5328	82812	3165	2695	27321	28228	124715	30537	8037	56003	127586	126941
Finegoldia magna	165	116	147	659	2268	246	191	255	790	5705	2452	2099	5234	1422	26351	5634	2099	4633	12955	2502
Peptoniphilus harei	89	0	0	248	1593	86	99	147	422	4404	1809	558	4455	991	23319	4039	1439	3200	9037	1484
Erysipelothrix inopinata	98	136	131	0	0	0	128	93	0	149	187	155	198	181	128	0	0	351	100	108
Bulleidia sp. zg-1006	312	408	487	6182	4563	985	1315	1368	3685	8894	12451	21120	9339	11505	5424	3579	5521	21632	7092	7375
Mycoplasma orale	235	254	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasma salivarium	187	170	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasma hyosynoviae	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasma hominis	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria sp. oral taxon 014	26474	27793	63963	230	0	0	1418	330	243	0	0	0	0	0	0	0	0	0	0	0
Neisseria sp. ZJ785	373	269	847	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria sp. 10022	282	177	579	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria flavescens	12991	5888	23325	708	0	28	11690	1244	809	0	0	401	320	0	0	0	0	0	0	0
Neisseria lactamica	3489	2004	6855	118	0	0	2051	242	148	0	0	0	0	0	0	0	0	0	0	0
Neisseria cinerea	2069	1132	4278	0	0	0	1057	103	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria gonorrhoeae	1992	1236	4263	0	0	0	1161	118	97	0	0	0	0	0	0	0	0	0	0	0
Neisseria polysaccharea	1018	662	1983	0	0	0	482	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria brasiliensis	400	275	746	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria animalis	361	259	782	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria musculi	280	219	514	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria zoodegmatis	253	183	472	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria zalophi	243	144	443	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria animaloris	240	193	546	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria weaveri	206	130	394	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria dentiae	198	209	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria wadsworthii	152	93	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria canis	137	132	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria shayeganii	111	157	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eikenella exigua	295	376	832	0	0	0	0	0	121	0	0	0	106	0	0	0	0	0	0	0
Simonsiella muelleri	87	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ottowia sp. oral taxon 894	485	2122	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus influenzae	1860	588	725	117	0	0	1321	197	634	268	538	0	100	0	282	130	0	203	133	218
Haemophilus haemolyticus	351	381	541	0	0	29	988	134	511	0	265	0	93	0	0	0	0	114	0	102
Haemophilus sp. oral taxon 036	165	144	269	0	0	0	236	0	265	0	0	0	0	0	0	0	0	0	0	0
Haemophilus parahaemolyticus	136	164	81	0	0	0	148	0	0	100	155	92	0	84	0	0	0	185	0	0
Haemophilus pittmaniae	136	107	117	14690	70	125	5937	8789	64588	0	133	495	129	96	0	0	103	0	319	243
Aggregatibacter sp. 2125159857	511	271	494	0	0	0	550	0	155	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter segnis	163	97	151	0	0	0	307	0	347	87	123	0	90	96	102	0	0	184	0	0
Glaesserella parasuis	76	0	0	0	94	59	0	0	105	0	0	0	73	97	0	0	0	85	0	0
Cardiobacterium hominis	7015	16917	16929	213	0	0	123	91	213	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas tolaasii	71	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0
Methylomicrobium album	122	133	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter concisus	9034	3710	16493	0	103	0	153	0	1054	100	194	86	4494	1074	87	468	399	1480	582	1605
Campylobacter rectus	578	368	778	0	0	0	0	0	0	85	0	0	10906	0	324	0	0	3962	359	4326
Campylobacter showae	499	203	859	0	0	0	0	0	406	124	0	0	63667	176	0	0	0	26019	1698	27637
Campylobacter gracilis	489	235	544	0	0	40	0	0	197	2573	0	0	3520	245	318	1038	123	4446	553	2169
Sorangium cellulosum	73	140	128	0	0	35	0	0	0	84	0	126	123	83	0	98	101	102	155	103
Sphingopyxis sp. EG6	105	0	0	0	0	34	0	0	157	0	0	0	0	0	0	0	0	0	0	0
Asticcacaulis excentricus	131	0	0	105	47	53	0	0	345	0	0	0	0	0	0	74	0	0	0	0
Prevotella melaninogenica	38025	32214	79811	1483719	1552016	220346	60078	379571	207851	149699	87563	4210	54421	124844	929	1350443	832893	175398	183308	566158
