count	species	sample	rel_abund
35	Vibrio alfacsensis	SRS014107	1.2256854645960751e-5
29	Vibrio furnissii	SRS014107	1.0155679563796052e-5
49	Halioglobus maricola	SRS014107	1.7159596504345053e-5
35	Methylococcus sp. IM1	SRS014107	1.2256854645960751e-5
33	Legionella spiritensis	SRS014107	1.1556462951905853e-5
44	Bathymodiolus septemdierum thioautotrophic gill symbiont	SRS014107	1.5408617269207806e-5
48	Solimonas sp. K1W22B-7	SRS014107	1.6809400657317607e-5
30	Steroidobacter denitrificans	SRS014107	1.0505875410823502e-5
33	endosymbiont of unidentified scaly snail isolate Monju	SRS014107	1.1556462951905853e-5
91611	Neisseria elongata	SRS014107	0.03208179174203173
18991	Neisseria sicca	SRS014107	0.0066505693308983
5339	Neisseria mucosa	SRS014107	0.00186969562727955
2905	Neisseria sp. oral taxon 014	SRS014107	0.0010173189356147401
818	Neisseria sp. KEM232	SRS014107	2.864602028684542e-4
152	Neisseria sp. ZJ785	SRS014107	5.3229768748172414e-5
94	Neisseria sp. 10022	SRS014107	3.291840962058031e-5
2482	Neisseria meningitidis	SRS014107	8.691860923221312e-4
1526	Neisseria subflava	SRS014107	5.343988625638889e-4
1461	Neisseria lactamica	SRS014107	5.116361325071046e-4
560	Neisseria gonorrhoeae	SRS014107	1.9610967433537205e-4
480	Neisseria cinerea	SRS014107	1.6809400657317604e-4
414	Neisseria bacilliformis	SRS014107	1.4498108066936434e-4
354	Neisseria flavescens	SRS014107	1.2396932984771734e-4
342	Neisseria polysaccharea	SRS014107	1.1976697968338794e-4
226	Neisseria chenwenguii	SRS014107	7.914426142820372e-5
182	Neisseria animalis	SRS014107	6.373564415899592e-5
122	Neisseria brasiliensis	SRS014107	4.272389333734891e-5
118	Neisseria animaloris	SRS014107	4.132310994923911e-5
116	Neisseria shayeganii	SRS014107	4.062271825518421e-5
110	Neisseria musculi	SRS014107	3.852154317301951e-5
95	Neisseria dentiae	SRS014107	3.326860546760776e-5
82	Neisseria weaveri	SRS014107	2.8716059456250908e-5
62	Neisseria zoodegmatis	SRS014107	2.1712142515701905e-5
56	Neisseria zalophi	SRS014107	1.9610967433537204e-5
47	Neisseria canis	SRS014107	1.6459204810290156e-5
36	Neisseria wadsworthii	SRS014107	1.2607050492988203e-5
15340	Eikenella corrodens	SRS014107	0.00537200429340108
2471	Eikenella exigua	SRS014107	8.653339380048292e-4
887	Kingella denitrificans	SRS014107	3.1062371631334826e-4
676	Kingella oralis	SRS014107	2.3673239259055628e-4
54	Kingella kingae	SRS014107	1.8910575739482304e-5
59	Simonsiella muelleri	SRS014107	2.0661554974619555e-5
31616	Lautropia mirabilis	SRS014107	0.01107179189961986
41	Burkholderia cepacia	SRS014107	1.4358029728125454e-5
59	Burkholderia gladioli	SRS014107	2.0661554974619555e-5
38	Cupriavidus necator	SRS014107	1.3307442187043103e-5
36	Cupriavidus taiwanensis	SRS014107	1.2607050492988203e-5
35	Cupriavidus basilensis	SRS014107	1.2256854645960751e-5
31	Cupriavidus campinensis	SRS014107	1.0856071257850953e-5
54	Polynucleobacter necessarius	SRS014107	1.8910575739482304e-5
32	Ralstonia pickettii	SRS014107	1.1206267104878404e-5
2948	Ottowia sp. oral taxon 894	SRS014107	0.00103237735703692
44	Ottowia sp. 27C	SRS014107	1.5408617269207806e-5
57	Ottowia oryzae	SRS014107	1.9961163280564654e-5
37	Acidovorax sp. HDW3	SRS014107	1.2957246340015652e-5
31	Acidovorax sp. JMULE5	SRS014107	1.0856071257850953e-5
46	Acidovorax carolinensis	SRS014107	1.6109008963262706e-5
86	Variovorax paradoxus	SRS014107	3.011684284436071e-5
38	Rhodoferax sp. BAB1	SRS014107	1.3307442187043103e-5
34	Rhodoferax koreense	SRS014107	1.1906658798933305e-5
29	Rhodoferax saidenbachensis	SRS014107	1.0155679563796052e-5
76	Achromobacter xylosoxidans	SRS014107	2.6614884374086207e-5
43	Algicoccus marinus	SRS014107	1.5058421422180354e-5
35	Alcaligenes faecalis	SRS014107	1.2256854645960751e-5
32	Massilia sp. NR 4-1	SRS014107	1.1206267104878404e-5
36	Massilia oculi	SRS014107	1.2607050492988203e-5
49	Rhizobacter sp. AJA081-3	SRS014107	1.7159596504345053e-5
56	Aquabacterium olei	SRS014107	1.9610967433537204e-5
53	Turicimonas muris	SRS014107	1.8560379892454857e-5
38	Aromatoleum bremense	SRS014107	1.3307442187043103e-5
43	Fluviibacter phosphoraccumulans	SRS014107	1.5058421422180354e-5
39	Candidatus Nitrotoga sp. AM1P	SRS014107	1.3657638034070554e-5
90993	Campylobacter rectus	SRS014107	0.03186537070856877
27041	Campylobacter showae	SRS014107	0.00946964589946927
20047	Campylobacter gracilis	SRS014107	0.00702037614535929
2088	Campylobacter concisus	SRS014107	7.312089285933159e-4
411	Campylobacter curvus	SRS014107	1.4393049312828198e-4
79	Campylobacter sp. CCUG 57310	SRS014107	2.7665471915168557e-5
64	Campylobacter sp. RM16192	SRS014107	2.2412534209756805e-5
36	Campylobacter sp. RM6914	SRS014107	1.2607050492988203e-5
54	Campylobacter sputorum	SRS014107	1.8910575739482304e-5
31	Campylobacter mucosalis	SRS014107	1.0856071257850953e-5
45	Helicobacter pylori	SRS014107	1.5758813116235256e-5
42	Helicobacter mustelae	SRS014107	1.4708225575152904e-5
37	Helicobacter cinaedi	SRS014107	1.2957246340015652e-5
33	Helicobacter felis	SRS014107	1.1556462951905853e-5
47	Cystobacter fuscus	SRS014107	1.6459204810290156e-5
36	Stigmatella aurantiaca	SRS014107	1.2607050492988203e-5
45	Anaeromyxobacter sp. Fw109-5	SRS014107	1.5758813116235256e-5
101	Sorangium cellulosum	SRS014107	3.536978054977246e-5
31	Pajaroellobacter abortibovis	SRS014107	1.0856071257850953e-5
48	Labilithrix luteola	SRS014107	1.6809400657317607e-5
33	Minicystis rosea	SRS014107	1.1556462951905853e-5
38	Geobacter sp. Jerry-YX	SRS014107	1.3307442187043103e-5
35	Geobacter sp. SVR	SRS014107	1.2256854645960751e-5
79	Geobacter metallireducens	SRS014107	2.7665471915168557e-5
39	Geobacter bremensis	SRS014107	1.3657638034070554e-5
31	Pelobacter propionicus	SRS014107	1.0856071257850953e-5
33	Desulfovibrio fairfieldensis	SRS014107	1.1556462951905853e-5
32	Desulfovibrio carbinoliphilus	SRS014107	1.1206267104878404e-5
35	Pseudodesulfovibrio indicus	SRS014107	1.2256854645960751e-5
72	Desulfobulbus oralis	SRS014107	2.5214100985976406e-5
38	Desulfopila sp. IMCC35005	SRS014107	1.3307442187043103e-5
32	Desulfurivibrio alkaliphilus	SRS014107	1.1206267104878404e-5
34	Rhizobium sp. ACO-34A	SRS014107	1.1906658798933305e-5
31	Rhizobium sp. CCGE531	SRS014107	1.0856071257850953e-5
45	Rhizobium etli	SRS014107	1.5758813116235256e-5
33	Rhizobium gallicum	SRS014107	1.1556462951905853e-5
30	Rhizobium leguminosarum	SRS014107	1.0505875410823502e-5
31	Agrobacterium sp. CGMCC 11546	SRS014107	1.0856071257850953e-5
33	Sinorhizobium meliloti	SRS014107	1.1556462951905853e-5
32	Bradyrhizobium diazoefficiens	SRS014107	1.1206267104878404e-5
53	Rhodopseudomonas palustris	SRS014107	1.8560379892454857e-5
65	Mesorhizobium sp. NZP2077	SRS014107	2.2762730056784255e-5
42	Rhodomicrobium vannielii	SRS014107	1.4708225575152904e-5
58	Bartonella apis	SRS014107	2.0311359127592105e-5
34	Labrys sp. KNU-23	SRS014107	1.1906658798933305e-5
34	Sulfitobacter sp. B30-2	SRS014107	1.1906658798933305e-5
38	Sulfitobacter mediterraneus	SRS014107	1.3307442187043103e-5
31	Leisingera methylohalidivorans	SRS014107	1.0856071257850953e-5
37	Roseovarius sp. THAF8	SRS014107	1.2957246340015652e-5
34	Cereibacter sphaeroides	SRS014107	1.1906658798933305e-5
39	Sphingobium yanoikuyae	SRS014107	1.3657638034070554e-5
33	Novosphingobium sp. ES2-1	SRS014107	1.1556462951905853e-5
39	Parasphingorhabdus sp. JHSY0214	SRS014107	1.3657638034070554e-5
35	Erythrobacter aureus	SRS014107	1.2256854645960751e-5
33	Altererythrobacter sp. ZODW24	SRS014107	1.1556462951905853e-5
51	Azospirillum lipoferum	SRS014107	1.7859988198399954e-5
37	Pararhodospirillum photometricum	SRS014107	1.2957246340015652e-5
41	Roseomonas sp. 546	SRS014107	1.4358029728125454e-5
33	Komagataeibacter nataicola	SRS014107	1.1556462951905853e-5
37	Stella humosa	SRS014107	1.2957246340015652e-5
33	Neokomagataea tanensis	SRS014107	1.1556462951905853e-5
41	Phenylobacterium zucineum	SRS014107	1.4358029728125454e-5
33	Rickettsia bellii	SRS014107	1.1556462951905853e-5
52	Phreatobacter cathodiphilus	SRS014107	1.8210184045427404e-5
50	Luteithermobacter gelatinilyticus	SRS014107	1.7509792351372503e-5
35	Hyphomonas sp. CACIAM 19H1	SRS014107	1.2256854645960751e-5
44	Hydrogenophilus thermoluteolus	SRS014107	1.5408617269207806e-5
107764	Prevotella oris	SRS014107	0.03773850525906613
48430	Prevotella enoeca	SRS014107	0.0169599848715394
27975	Prevotella intermedia	SRS014107	0.00979672882059291
10305	Prevotella denticola	SRS014107	0.00360876820361787
4226	Prevotella melaninogenica	SRS014107	0.001479927649538
2160	Prevotella sp. oral taxon 299	SRS014107	7.564230295792922e-4
351	Prevotella sp. WR041	SRS014107	1.22918742306635e-4
2495	Prevotella scopos	SRS014107	8.73738638333488e-4
2371	Prevotella dentalis	SRS014107	8.303143533020842e-4
2135	Prevotella fusca	SRS014107	7.476681334036059e-4
1875	Prevotella jejuni	SRS014107	6.56617213176469e-4
539	Prevotella copri	SRS014107	1.887555615477956e-4
364	Prevotella ruminicola	SRS014107	1.2747128831799184e-4
564	Alloprevotella sp. E39	SRS014107	1.9751045772348184e-4
302	Paraprevotella xylaniphila	SRS014107	1.0575914580228992e-4
48254	Tannerella sp. oral taxon HOT-286	SRS014107	0.01689835040246257
6982	Tannerella forsythia	SRS014107	0.00244506740394565
906	Parabacteroides distasonis	SRS014107	3.172774374068698e-4
276	Parabacteroides goldsteinii	SRS014107	9.665405377957622e-5
33	Parabacteroides sp. CT06	SRS014107	1.1556462951905853e-5
8078	Bacteroides ovatus	SRS014107	0.00282888205228774
2435	Bacteroides thetaiotaomicron	SRS014107	8.52726887511841e-4
1909	Bacteroides uniformis	SRS014107	6.685238719754022e-4
1646	Bacteroides fragilis	SRS014107	5.764223642071829e-4
137	Bacteroides sp. CACC 737	SRS014107	4.7976831042760665e-5
136	Bacteroides sp. CBA7301	SRS014107	4.762663519573321e-5
126	Bacteroides sp. HF-5287	SRS014107	4.412467672545871e-5
97	Bacteroides sp. M10	SRS014107	3.396899716166266e-5
79	Bacteroides sp. HF-162	SRS014107	2.7665471915168557e-5
70	Bacteroides sp. A1C1	SRS014107	2.4513709291921503e-5
55	Bacteroides sp. HF-5141	SRS014107	1.926077158650975e-5
721	Bacteroides heparinolyticus	SRS014107	2.5249120570679153e-4
425	Bacteroides zoogleoformans	SRS014107	1.488332349866663e-4
363	Bacteroides xylanisolvens	SRS014107	1.2712109247096438e-4
257	Bacteroides eggerthii	SRS014107	9.000033268605468e-5
192	Bacteroides intestinalis	SRS014107	6.723760262927043e-5
167	Bacteroides caccae	SRS014107	5.848270645358417e-5
162	Bacteroides helcogenes	SRS014107	5.6731727218446915e-5
154	Bacteroides caecimuris	SRS014107	5.3930160442227314e-5
98	Bacteroides coprosuis	SRS014107	3.4319193008690107e-5
58	Bacteroides cellulosilyticus	SRS014107	2.0311359127592105e-5
8645	Phocaeicola dorei	SRS014107	0.0030274430975523
508	Phocaeicola vulgatus	SRS014107	1.7789949028994466e-4
253	Phocaeicola salanitronis	SRS014107	8.859954929794488e-5
172	Phocaeicola coprophilus	SRS014107	6.023368568872142e-5
7197	Porphyromonas gingivalis	SRS014107	0.00252035951105655
1334	Porphyromonas crevioricanis	SRS014107	4.671612599346184e-4
266	Porphyromonas cangingivalis	SRS014107	9.315209530930172e-5
259	Porphyromonas asaccharolytica	SRS014107	9.070072438010958e-5
2560	Alistipes onderdonkii	SRS014107	8.965013683902722e-4
503	Alistipes communis	SRS014107	1.761485110548074e-4
391	Alistipes shahii	SRS014107	1.36926576187733e-4
327	Alistipes dispar	SRS014107	1.1451404197797618e-4
300	Alistipes megaguti	SRS014107	1.0505875410823504e-4
263	Alistipes indistinctus	SRS014107	9.210150776821938e-5
155	Alistipes sp. dk3624	SRS014107	5.428035628925477e-5
151	Alistipes finegoldii	SRS014107	5.287957290114497e-5
327	Sodaliphilus pleomorphus	SRS014107	1.1451404197797618e-4
190	Muribaculum intestinale	SRS014107	6.653721093521552e-5
100	Muribaculum gordoncarteri	SRS014107	3.501958470274501e-5
114	Duncaniella dubosii	SRS014107	3.992232656112931e-5
475	Odoribacter splanchnicus	SRS014107	1.663430273380388e-4
91	Butyricimonas faecalis	SRS014107	3.186782207949796e-5
78	Butyricimonas virosa	SRS014107	2.7315276068141107e-5
477	Tenuifilum thalassicum	SRS014107	1.670434190320937e-4
222	Proteiniphilum saccharofermentans	SRS014107	7.774347804009392e-5
136	Petrimonas mucosa	SRS014107	4.762663519573321e-5
320	Barnesiella viscericola	SRS014107	1.1206267104878404e-4
116	Coprobacter sp. 2CBH44	SRS014107	4.062271825518421e-5
309	Paludibacter propionicigenes	SRS014107	1.0821051673148208e-4
113	Salinivirga cyanobacteriivorans	SRS014107	3.957213071410186e-5
36	Draconibacterium orientale	SRS014107	1.2607050492988203e-5
30	Draconibacterium sp. M1	SRS014107	1.0505875410823502e-5
78	Labilibaculum antarcticum	SRS014107	2.7315276068141107e-5
53	Alkalitalea saponilacus	SRS014107	1.8560379892454857e-5
79592	Capnocytophaga sputigena	SRS014107	0.0278727878566088
3892	Capnocytophaga sp. FDAARGOS_737	SRS014107	0.00136296223663083
3049	Capnocytophaga sp. oral taxon 878	SRS014107	0.00106774713758669
1588	Capnocytophaga sp. oral taxon 902	SRS014107	5.561110050795908e-4
1101	Capnocytophaga sp. oral taxon 864	SRS014107	3.8556562757722254e-4
942	Capnocytophaga sp. oral taxon 323	SRS014107	3.29884487899858e-4
7224	Capnocytophaga gingivalis	SRS014107	0.00252981479892629
7033	Capnocytophaga endodontalis	SRS014107	0.00246292739214405
3345	Capnocytophaga leadbetteri	SRS014107	0.00117140510830682
999	Capnocytophaga ochracea	SRS014107	3.498456511804227e-4
371	Capnocytophaga haemolytica	SRS014107	1.2992265924718398e-4
300	Capnocytophaga canimorsus	SRS014107	1.0505875410823504e-4
79	Capnocytophaga stomatis	SRS014107	2.7665471915168557e-5
31	Capnocytophaga cynodegmi	SRS014107	1.0856071257850953e-5
48	Flavobacterium album	SRS014107	1.6809400657317607e-5
47	Flavobacterium anhuiense	SRS014107	1.6459204810290156e-5
45	Flavobacterium columnare	SRS014107	1.5758813116235256e-5
39	Flavobacterium pallidum	SRS014107	1.3657638034070554e-5
94	Robiginitalea biformata	SRS014107	3.291840962058031e-5
46	Muricauda sp. 501str8	SRS014107	1.6109008963262706e-5
37	Muricauda lutaonensis	SRS014107	1.2957246340015652e-5
33	Nonlabens spongiae	SRS014107	1.1556462951905853e-5
62	Amniculibacterium sp. G2-70	SRS014107	2.1712142515701905e-5
48	Lutibacter profundi	SRS014107	1.6809400657317607e-5
42	Altibacter sp. ALE3EI	SRS014107	1.4708225575152904e-5
33	Leeuwenhoekiella sp. ZYFB001	SRS014107	1.1556462951905853e-5
33	Euzebyella marina	SRS014107	1.1556462951905853e-5
33	Aureitalea sp. RR4-38	SRS014107	1.1556462951905853e-5
31	Zunongwangia profunda	SRS014107	1.0856071257850953e-5
70	Chryseobacterium sp. 6424	SRS014107	2.4513709291921503e-5
52	Chryseobacterium sp. POL2	SRS014107	1.8210184045427404e-5
33	Chryseobacterium sp. NEB161	SRS014107	1.1556462951905853e-5
29	Chryseobacterium sp. IHB B 17019	SRS014107	1.0155679563796052e-5
29	Chryseobacterium sp. NBC 122	SRS014107	1.0155679563796052e-5
56	Chryseobacterium bernardetii	SRS014107	1.9610967433537204e-5
56	Chryseobacterium camelliae	SRS014107	1.9610967433537204e-5
43	Chryseobacterium indoltheticum	SRS014107	1.5058421422180354e-5
37	Chryseobacterium arthrosphaerae	SRS014107	1.2957246340015652e-5
35	Chryseobacterium shandongense	SRS014107	1.2256854645960751e-5
29	Chryseobacterium indologenes	SRS014107	1.0155679563796052e-5
29	Chryseobacterium piperi	SRS014107	1.0155679563796052e-5
31	Kaistella jeonii	SRS014107	1.0856071257850953e-5
30	Kaistella daneshvariae	SRS014107	1.0505875410823502e-5
41	Epilithonimonas vandammei	SRS014107	1.4358029728125454e-5
30	Chryseobacterium lactis	SRS014107	1.0505875410823502e-5
52	Chryseobacterium taklimakanense	SRS014107	1.8210184045427404e-5
58	Elizabethkingia meningoseptica	SRS014107	2.0311359127592105e-5
53	Elizabethkingia sp. JS20170427COW	SRS014107	1.8560379892454857e-5
153	Bergeyella cardium	SRS014107	5.357996459519987e-5
120	Riemerella anatipestifer	SRS014107	4.202350164329401e-5
119	Ornithobacterium rhinotracheale	SRS014107	4.167330579626656e-5
79	Cruoricaptor ignavus	SRS014107	2.7665471915168557e-5
75	Cloacibacterium normanense	SRS014107	2.6264688527058757e-5
143	Blattabacterium cuenoti	SRS014107	5.0078006124925366e-5
32	Blattabacterium sp. (Blatta orientalis)	SRS014107	1.1206267104878404e-5
54	Croceimicrobium hydrocarbonivorans	SRS014107	1.8910575739482304e-5
45	Owenweeksia hongkongensis	SRS014107	1.5758813116235256e-5
64	Candidatus Sulcia muelleri	SRS014107	2.2412534209756805e-5
66	Ichthyobacterium seriolicida	SRS014107	2.3112925903811706e-5
46	Fluviicola taffensis	SRS014107	1.6109008963262706e-5
85	Hymenobacter sp. PAMC 26628	SRS014107	2.9766646997333255e-5
81	Hymenobacter sp. PAMC 26554	SRS014107	2.8365863609223458e-5
71	Hymenobacter sp. NBH84	SRS014107	2.4863905138948956e-5
63	Hymenobacter sp. DG01	SRS014107	2.2062338362729355e-5
60	Hymenobacter sp. BRD128	SRS014107	2.1011750821647005e-5
57	Hymenobacter sp. HDW8	SRS014107	1.9961163280564654e-5
54	Hymenobacter sp. APR13	SRS014107	1.8910575739482304e-5
78	Hymenobacter busanensis	SRS014107	2.7315276068141107e-5
61	Hymenobacter nivis	SRS014107	2.1361946668674455e-5
60	Hymenobacter russus	SRS014107	2.1011750821647005e-5
50	Hymenobacter swuensis	SRS014107	1.7509792351372503e-5
38	Hymenobacter jejuensis	SRS014107	1.3307442187043103e-5
35	Hymenobacter sedentarius	SRS014107	1.2256854645960751e-5
115	Pontibacter russatus	SRS014107	4.027252240815676e-5
63	Pontibacter actiniarum	SRS014107	2.2062338362729355e-5
31	Pontibacter sp. SGAir0037	SRS014107	1.0856071257850953e-5
44	Rufibacter tibetensis	SRS014107	1.5408617269207806e-5
50	Adhaeribacter radiodurans	SRS014107	1.7509792351372503e-5
54	Spirosoma sp. PL0136	SRS014107	1.8910575739482304e-5
52	Spirosoma taeanense	SRS014107	1.8210184045427404e-5
43	Spirosoma rigui	SRS014107	1.5058421422180354e-5
41	Spirosoma montaniterrae	SRS014107	1.4358029728125454e-5
31	Spirosoma radiotolerans	SRS014107	1.0856071257850953e-5
58	Runella sp. HYN0085	SRS014107	2.0311359127592105e-5
40	Runella slithyformis	SRS014107	1.4007833881098004e-5
74	Dyadobacter fermentans	SRS014107	2.5914492680031307e-5
55	Rhodocytophaga rosea	SRS014107	1.926077158650975e-5
40	Fibrella aestuarina	SRS014107	1.4007833881098004e-5
39	Leadbetterella byssophila	SRS014107	1.3657638034070554e-5
48	Echinicola vietnamensis	SRS014107	1.6809400657317607e-5
69	Aquiflexum balticum	SRS014107	2.4163513444894056e-5
117	Chryseolinea soli	SRS014107	4.097291410221166e-5
73	Sphingobacterium thalpophilum	SRS014107	2.5564296833003857e-5
67	Sphingobacterium multivorum	SRS014107	2.3463121750839156e-5
55	Sphingobacterium spiritivorum	SRS014107	1.926077158650975e-5
62	Mucilaginibacter ginsenosidivorans	SRS014107	2.1712142515701905e-5
51	Mucilaginibacter celer	SRS014107	1.7859988198399954e-5
49	Mucilaginibacter ginsenosidivorax	SRS014107	1.7159596504345053e-5
35	Mucilaginibacter paludis	SRS014107	1.2256854645960751e-5
36	Pedobacter sp. JBR3-12	SRS014107	1.2607050492988203e-5
31	Pedobacter heparinus	SRS014107	1.0856071257850953e-5
90	Anseongella ginsenosidimutans	SRS014107	3.151762623247051e-5
45	Solitalea canadensis	SRS014107	1.5758813116235256e-5
37	Pseudopedobacter saltans	SRS014107	1.2957246340015652e-5
32	Chitinophaga sp. XS-30	SRS014107	1.1206267104878404e-5
54	Chitinophaga pinensis	SRS014107	1.8910575739482304e-5
47	Arachidicoccus sp. BS20	SRS014107	1.6459204810290156e-5
35	Flavisolibacter ginsenosidimutans	SRS014107	1.2256854645960751e-5
101	Rhodothermus marinus	SRS014107	3.536978054977246e-5
62	Salinibacter ruber	SRS014107	2.1712142515701905e-5
60	Haliscomenobacter hydrossis	SRS014107	2.1011750821647005e-5
40	Pelodictyon phaeoclathratiforme	SRS014107	1.4007833881098004e-5
38	Gemmatimonas sp. TET16	SRS014107	1.3307442187043103e-5
100461	Treponema sp. OMZ 804	SRS014107	0.03518102498822467
25416	Treponema sp. Marseille-Q4132	SRS014107	0.00890057764804967
10083	Treponema sp. OMZ 838	SRS014107	0.00353102472557777
42	Treponema sp. RCC2812	SRS014107	1.4708225575152904e-5
129885	Treponema socranskii	SRS014107	0.04548518759116035
89550	Treponema denticola	SRS014107	0.03136003810130815
14030	Treponema medium	SRS014107	0.00491324773379512
3447	Treponema parvum	SRS014107	0.00120712508470362
2344	Treponema putidum	SRS014107	8.20859065432343e-4
616	Treponema pedis	SRS014107	2.1572064176890928e-4
244	Treponema brennaborense	SRS014107	8.544778667469782e-5
153	Treponema phagedenis	SRS014107	5.357996459519987e-5
96	Treponema succinifaciens	SRS014107	3.361880131463521e-5
41	Treponema primitia	SRS014107	1.4358029728125454e-5
32	Treponema caldarium	SRS014107	1.1206267104878404e-5
31	Treponema azotonutricium	SRS014107	1.0856071257850953e-5
106230	Fusobacterium nucleatum	SRS014107	0.03720130482972602
8644	Fusobacterium hwasookii	SRS014107	0.00302709290170527
6615	Fusobacterium pseudoperiodonticum	SRS014107	0.00231654552808658
1509	Fusobacterium canifelinum	SRS014107	5.284455331644222e-4
1290	Fusobacterium sp. oral taxon 203	SRS014107	4.517526426654106e-4
30	Fusobacterium sp. NSJ-57	SRS014107	1.0505875410823502e-5
585	Fusobacterium periodonticum	SRS014107	2.048645705110583e-4
212	Fusobacterium necrophorum	SRS014107	7.424151956981942e-5
64	Fusobacterium mortiferum	SRS014107	2.2412534209756805e-5
37	Fusobacterium gonidiaformans	SRS014107	1.2957246340015652e-5
34	Fusobacterium varium	SRS014107	1.1906658798933305e-5
6418	Leptotrichia trevisanii	SRS014107	0.00224755694622217
5354	Leptotrichia sp. oral taxon 212	SRS014107	0.00187494856498496
395	Leptotrichia sp. oral taxon 847	SRS014107	1.3832735957584278e-4
175	Leptotrichia sp. oral taxon 498	SRS014107	6.128427322980376e-5
1934	Leptotrichia wadei	SRS014107	6.772787681510885e-4
1773	Leptotrichia hofstadii	SRS014107	6.20897236779669e-4
1737	Leptotrichia buccalis	SRS014107	6.082901862866808e-4
775	Leptotrichia hongkongensis	SRS014107	2.7140178144627385e-4
383	Leptotrichia shahii	SRS014107	1.341250094115134e-4
269	Pseudoleptotrichia goodfellowii	SRS014107	9.420268285038408e-5
21097	Fretibacterium fastidiosum	SRS014107	0.00738808178473811
39	Aminomonas paucivorans	SRS014107	1.3657638034070554e-5
35	Cloacibacillus porcorum	SRS014107	1.2256854645960751e-5
29	Jonquetella anthropi	SRS014107	1.0155679563796052e-5
15032	Candidatus Nanosynbacter lyticus	SRS014107	0.00526414397251662
1481	Candidatus Saccharimonas aalborgensis	SRS014107	5.186400494476536e-4
42	Bremerella volcania	SRS014107	1.4708225575152904e-5
29	Rosistilla carotiformis	SRS014107	1.0155679563796052e-5
30	Mariniblastus fucicola	SRS014107	1.0505875410823502e-5
29	Botrimarina mediterranea	SRS014107	1.0155679563796052e-5
34	Planctomyces sp. SH-PL14	SRS014107	1.1906658798933305e-5
46	Tautonia plasticadhaerens	SRS014107	1.6109008963262706e-5
31	Aquisphaera giovannonii	SRS014107	1.0856071257850953e-5
40	Urbifossiella limnaea	SRS014107	1.4007833881098004e-5
39	Humisphaera borealis	SRS014107	1.3657638034070554e-5
50	Luteolibacter luteus	SRS014107	1.7509792351372503e-5
37	Roseimicrobium sp. ORNL1	SRS014107	1.2957246340015652e-5
36	Akkermansia muciniphila	SRS014107	1.2607050492988203e-5
37	Waddlia chondrophila	SRS014107	1.2957246340015652e-5
30	Granulicella sp. WH15	SRS014107	1.0505875410823502e-5
34	Chloracidobacterium thermophilum	SRS014107	1.1906658798933305e-5
3025	Homo sapiens	SRS014107	0.00105934243725803
160	Escherichia virus T4	SRS014107	5.6031335524392015e-5
125	Streptococcus phage EJ-1	SRS014107	4.3774480878431264e-5
32	uncultured crAssphage	SRS014107	1.1206267104878404e-5
287141	Rothia dentocariosa	SRS014477	0.09265757282794032
144722	Rothia aeria	SRS014477	0.04670036412356709
637	Rothia mucilaginosa	SRS014477	2.0555362658553807e-4
62	Rothia amarae	SRS014477	2.0006789400790203e-5
46	Rothia terrae	SRS014477	1.4843746974779828e-5
42	Rothia sp. ZJ932	SRS014477	1.3552986368277234e-5
41	Rothia kristinae	SRS014477	1.3230296216651589e-5
35	Rothia nasimurium	SRS014477	1.1294155306897695e-5
37	Arthrobacter crystallopoietes	SRS014477	1.1939535610148991e-5
34	Arthrobacter woluwensis	SRS014477	1.0971465155272046e-5
45	Micrococcus luteus	SRS014477	1.452105682315418e-5
33	Microbacterium hominis	SRS014477	1.06487750036464e-5
32	Clavibacter michiganensis	SRS014477	1.032608485202075e-5
34	Cellulomonas sp. Y8	SRS014477	1.0971465155272046e-5
34	Cellulomonas taurus	SRS014477	1.0971465155272046e-5
32	Oerskovia sp. KBS0722	SRS014477	1.032608485202075e-5
31	Pseudactinotalea sp. HY158	SRS014477	1.0003394700395102e-5
31	Brachybacterium sp. P6-10-X1	SRS014477	1.0003394700395102e-5
37	Brachybacterium saurashtrense	SRS014477	1.1939535610148991e-5
41	Brevibacterium casei	SRS014477	1.3230296216651589e-5
62	Georgenia sp. Z443	SRS014477	2.0006789400790203e-5
58	Georgenia sp. Z294	SRS014477	1.871602879428761e-5
48	Georgenia faecalis	SRS014477	1.5489127278031126e-5
46	Haloactinobacterium sp. RN3S43	SRS014477	1.4843746974779828e-5
41	Haloactinobacterium sp. HY164	SRS014477	1.3230296216651589e-5
31	Sanguibacter keddieii	SRS014477	1.0003394700395102e-5
42	Kytococcus sedentarius	SRS014477	1.3552986368277234e-5
32436	Actinomyces sp. oral taxon 169	SRS014477	0.01046677775812953
25475	Actinomyces sp. oral taxon 414	SRS014477	0.00822053161266339
24734	Actinomyces sp. oral taxon 171	SRS014477	0.00798141821030878
8306	Actinomyces sp. HMT 175	SRS014477	0.00268026439940263
2012	Actinomyces sp. oral taxon 897	SRS014477	6.492525850708046e-4
1966	Actinomyces sp. Chiba101	SRS014477	6.344088380960248e-4
1692	Actinomyces sp. HMT897	SRS014477	5.459917365505972e-4
1277	Actinomyces sp. ZJ750	SRS014477	4.1207532362595305e-4
1092	Actinomyces sp. ZJ34	SRS014477	3.523776455752081e-4
830	Actinomyces sp. Z16	SRS014477	2.678328258492882e-4
724	Actinomyces sp. 432	SRS014477	2.336276697769695e-4
412	Actinomyces sp. zg-993	SRS014477	1.3294834246976717e-4
37	Actinomyces sp. zg-332	SRS014477	1.1939535610148991e-5
