species,LIB030.A0117,SYN001.A0101,SYN002.A0101,SYN003.A0101,SYN005.I0101,SYN006.I0101,SYN008.I0101,SYN009.I0101,SYN012.I0101,SYN013.I0101,SYN014.A0101,SYN014.C0101,SYN015.B0101,SYN015.D0101,SYN015.E0101,SYN015.F0101,SYN015.G0101,SYN015.H0101,SYN015.I0101,SYN016.I0101,SYN017.A0101,SYN017.B0101,SYN017.D0101,SYN017.E0101,SYN017.F0101,SYN017.G0101,SYN018.C0101,SYN018.H0101,SYN018.I0101,SYN019.I0101,SYN021.I0101,SYN022.I0101,SYN023.I0101,SYN025.I0101,SYN026.I0101,SYN028.I0101
Leuconostoc mesenteroides,NA,49,47,57,29,67,123,70,99,66,173,206,75,23,9,73,86,99,29,61,43,49,41,71,106,63,77,42,120,58,101,32,27,46,76,25
Leuconostoc gelidum,NA,32,53,68,160,191,195,189,242,145,47,82,98,127,32,64,15,21,267,220,83,60,113,102,51,21,70,17,94,82,50,110,350,111,61,176
Leuconostoc lactis,NA,16,43,44,86,124,174,135,125,155,68,112,57,18,10,33,33,47,107,175,44,40,37,42,58,25,136,80,96,39,62,42,181,68,55,87
Leuconostoc carnosum,NA,14,20,19,43,52,240,27,51,31,21,21,29,30,6,10,16,8,33,39,35,22,38,20,15,3,36,2,14,18,13,36,50,26,21,43
Leuconostoc suionicum,NA,12,34,18,4,2,17,2,2,2,15,7,8,NA,3,2,2,NA,2,3,48,37,1,NA,4,2,31,1,32,NA,1,1,3,1,3,4
Leuconostoc pseudomesenteroides,NA,9,15,16,5,6,14,1,6,12,8,9,5,4,3,8,18,11,4,10,31,10,1,3,5,7,19,5,7,3,8,3,5,5,10,8
Leuconostoc falkenbergense,NA,8,10,9,22,43,28,5,26,19,5,32,2,2,6,5,3,4,9,35,9,13,NA,5,5,2,47,1,24,1,12,3,38,2,6,18
Leuconostoc citreum,NA,1,1,1,12,14,4,10,7,2,13,17,17,17,5,3,9,13,6,5,4,3,7,3,12,5,11,11,10,21,5,9,12,15,11,11
Pediococcus pentosaceus,NA,65,165,119,91,176,206,100,176,115,125,39,94,53,13,34,15,37,88,155,184,154,65,44,21,12,154,16,76,52,46,51,150,77,69,96
Pediococcus claussenii,NA,58,89,64,49,60,101,68,74,85,33,16,42,7,9,21,18,15,62,82,64,30,13,22,16,12,50,25,91,7,16,42,132,30,31,35
Pediococcus acidilactici,NA,54,98,69,130,285,163,103,248,178,44,124,17,15,22,37,62,61,108,233,102,80,32,20,63,27,442,58,161,23,67,49,173,65,59,75
Pediococcus inopinatus,NA,36,92,53,7,3,19,29,6,112,50,7,10,4,4,58,177,174,21,87,72,78,2,6,117,149,56,281,23,14,5,28,5,28,28,11
Pediococcus damnosus,NA,20,63,60,28,27,97,18,21,27,19,40,21,6,7,5,16,14,22,27,55,28,3,3,7,12,75,10,18,76,19,8,16,50,25,57
Loigolactobacillus bifermentans,NA,84,118,86,35,78,96,62,81,124,263,256,111,28,30,120,180,190,50,116,79,43,57,98,153,130,116,151,66,51,121,28,31,50,136,26
Loigolactobacillus coryniformis,NA,69,106,109,87,66,110,173,93,85,144,142,139,119,63,82,108,126,186,93,247,280,110,96,127,179,282,180,81,79,49,78,158,91,50,165
Loigolactobacillus backii,NA,42,84,59,105,180,106,165,193,174,41,64,22,6,5,20,24,24,153,210,110,125,18,38,27,12,125,21,91,12,33,55,331,38,49,103
Lactiplantibacillus paraplantarum,NA,69,105,73,20,46,117,32,33,39,26,248,17,43,31,65,24,16,13,42,57,46,45,112,58,16,123,13,70,6,21,6,18,11,23,22
Lactiplantibacillus pentosus,NA,39,78,59,49,130,470,72,74,94,16,480,35,33,37,52,22,18,14,156,68,110,18,19,25,18,614,52,72,35,94,17,13,15,23,80
Lactiplantibacillus plantarum,NA,33,51,32,409,477,1117,263,282,324,1018,63688,177,171,137,216,209,181,783,298,293,1318,814,516,461,206,7768,146,1346,381,332,163,346,204,255,781
Lentilactobacillus curieae,NA,57,104,75,49,47,81,124,86,57,38,111,22,67,21,38,15,9,114,70,116,131,60,40,21,6,133,57,14,63,32,46,75,62,26,80
Lentilactobacillus kefiri,NA,36,67,51,63,80,240,43,79,51,39,143,44,23,21,42,8,1,32,86,80,95,17,9,6,4,217,1,86,51,55,25,36,61,27,54
Lentilactobacillus hilgardii,NA,27,39,36,54,117,331,49,39,91,45,177,57,39,26,27,12,19,18,109,72,76,38,7,25,13,211,58,36,50,43,33,26,63,29,54
Lentilactobacillus buchneri,NA,16,20,11,91,105,293,153,105,64,16,269,33,199,152,71,17,14,203,125,48,55,105,114,58,12,210,64,24,63,38,73,179,72,22,143
Lentilactobacillus parabuchneri,NA,11,18,25,28,41,158,25,27,32,34,61,38,32,9,20,12,12,19,33,62,38,28,15,23,5,89,24,24,36,26,15,13,38,19,30
Liquorilactobacillus nagelii,NA,58,94,78,42,24,78,58,32,11,54,68,33,101,56,43,21,35,84,20,100,71,86,75,53,12,65,21,36,58,23,40,66,56,23,54
Liquorilactobacillus hordei,NA,55,91,93,42,34,175,60,102,69,53,32,50,18,16,33,45,72,31,78,114,95,29,21,38,32,94,75,142,23,40,53,38,94,31,59
Liquorilactobacillus mali,NA,22,50,35,10,19,104,19,17,9,67,14,39,29,4,6,8,11,23,24,119,114,25,11,12,NA,75,5,14,24,6,15,38,28,16,20
Lacticaseibacillus rhamnosus,NA,20,48,39,68,214,207458,173903,33,3348,39,796,23,38,52,135,109,51,1813,34428,135,193,120,139,1101,889,2852,60,1235,83,183,22,33,3875,22,7599
Lacticaseibacillus casei,NA,18,40,26,71,137,182,174,99,101,23,212,7,1222,2614,7089,4109,2001,124,124,54,82,67,90,58,22,1322,1190,450,14,10492,24,172,28,17,181
Lacticaseibacillus manihotivorans,NA,17,34,28,19,31,140,22,23,23,36,56,20,11,9,19,35,26,11,36,49,55,18,19,30,33,162,40,131,9,16,15,6,11,18,32
Lacticaseibacillus zeae,NA,14,27,14,11,17,67,32,15,16,18,57,11,267,602,1550,960,466,13,18,41,44,17,14,14,5,387,285,44,5,2369,1,6,11,5,38
Lacticaseibacillus paracasei,NA,12,37,23,55348,82764,100112,2195,167,19499,894,146391,66,293,285,1833,1886,587,44090,977,52402,158785,114734,74338,70179,48259,1163390,3854,231931,21010,731,43,15328,1434,101,202547
Paucilactobacillus nenjiangensis,NA,56,96,74,48,30,145,21,38,30,44,44,41,20,7,12,4,5,21,36,120,93,26,10,7,5,94,2,23,28,12,18,19,32,20,37
Paucilactobacillus oligofermentans,NA,38,53,38,61,122,277,103,66,114,57,49,41,33,8,12,9,18,66,109,122,115,45,19,16,10,125,77,49,26,24,40,172,67,31,73
Paucilactobacillus hokkaidonensis,NA,14,18,28,53,58,330,43,75,80,39,101,90,37,18,32,51,45,44,75,71,69,39,12,26,26,172,44,41,42,37,34,60,43,32,58
Levilactobacillus brevis,NA,51,82,66,98,220,739,105,138,182,96,544,93,88,75,97,64,53,48,246,157,177,49,42,65,48,638,68,169,69,146,27,38,62,70,108
Levilactobacillus suantsaii,NA,30,55,45,22,53,219,48,53,54,18,136,15,20,14,21,19,22,21,86,61,43,9,14,17,18,144,22,120,7,46,17,35,17,13,31
Levilactobacillus koreensis,NA,7,16,14,68,100,155,65,65,96,7,133,14,19,12,20,4,8,48,114,31,34,10,8,11,2,183,16,36,4,46,17,86,9,16,25
Levilactobacillus zymae,NA,6,19,22,64,107,308,91,96,77,12,280,23,29,22,38,7,4,35,108,47,66,9,10,8,6,320,2,40,38,89,21,31,20,32,44
Secundilactobacillus paracollinoides,NA,55,71,53,58,60,204,55,70,45,46,152,53,28,22,38,10,6,20,90,118,103,14,17,10,5,228,4,27,30,43,21,21,29,30,31
Secundilactobacillus malefermentans,NA,35,50,47,58,71,86,93,96,93,59,56,38,19,14,21,50,61,40,130,143,121,26,22,61,42,119,39,101,38,49,26,90,61,53,26
Lapidilactobacillus dextrinicus,NA,78,130,133,32,47,59,67,52,88,81,11,37,17,9,28,68,72,20,89,178,166,22,13,46,47,85,150,22,26,10,28,29,65,28,44
Fructilactobacillus sanfranciscensis,NA,39,72,51,55,23,198,71,66,55,59,16,30,27,4,23,33,27,45,47,110,138,27,10,28,16,77,67,49,42,34,40,51,25,29,88
Fructilactobacillus lindneri,NA,23,44,28,16,14,129,10,11,24,16,9,6,2,3,9,34,35,4,27,36,24,12,10,50,22,13,31,82,6,13,6,25,31,34,20
Fructilactobacillus fructivorans,NA,10,19,14,24,50,25,30,32,66,14,31,8,2,3,3,12,9,25,57,19,20,8,6,16,6,25,30,32,6,10,16,66,13,9,36
Oenococcus oeni,NA,28,41,27,15,9,1,12,11,14,30,2,16,2,3,11,25,15,15,10,89,72,4,2,14,15,58,18,8,23,5,8,19,28,9,21
Oenococcus sicerae,NA,14,40,15,35,34,3,28,28,33,14,7,9,3,2,2,2,5,44,28,46,24,5,5,10,2,28,3,11,18,1,13,132,7,11,33
Oenococcus sp. UCMA 16435,NA,8,14,4,10,16,26,16,10,46,12,23,7,7,1,5,37,39,4,47,42,45,8,9,36,17,45,92,65,9,13,11,6,26,12,21
Oenococcus kitaharae,NA,6,3,6,65,110,37,86,83,102,8,27,15,7,4,11,5,7,125,110,3,3,15,18,15,11,21,24,50,8,18,28,193,25,24,72
Amylolactobacillus amylophilus,NA,55,85,74,30,37,26,84,55,35,61,21,64,8,16,27,14,11,40,33,111,85,5,5,14,7,90,30,9,60,44,36,29,97,30,41
Apilactobacillus bombintestini,NA,28,44,41,44,86,72,49,85,62,32,42,34,22,10,8,11,4,33,92,70,58,9,9,7,3,86,2,46,18,19,23,46,27,19,35
Apilactobacillus kunkeei,NA,12,18,16,5,9,18,9,11,10,8,5,4,4,6,5,2,6,6,17,31,32,5,4,7,3,22,11,2,3,7,4,22,14,9,11
Schleiferilactobacillus harbinensis,NA,40,57,48,87,107,324,107,94,87,72,151,50,44,14,54,23,37,110,114,55,39,26,25,50,17,190,95,70,129,69,61,101,105,51,135
Furfurilactobacillus rossiae,NA,38,78,64,166,248,336,178,288,214,74,153,92,57,39,68,33,34,206,251,128,115,83,51,55,28,201,48,84,66,64,122,304,119,63,138
Bombilactobacillus bombi,NA,19,20,21,82,92,37,51,99,82,16,44,26,5,11,19,41,39,69,89,24,23,10,15,39,29,51,28,63,23,41,32,189,46,41,52
Acetilactobacillus jinshanensis,NA,7,15,22,32,57,120,37,55,44,33,33,47,26,7,15,8,12,21,51,31,31,25,12,17,5,41,14,23,20,35,33,34,41,28,19
Jeotgalibaca porci,NA,430,665,572,150,147,468,109,174,148,390,62,153,64,18,45,69,132,133,172,877,702,111,49,84,67,352,80,149,67,84,96,260,165,156,134
Jeotgalibaca ciconiae,NA,274,461,371,86,97,279,111,99,136,218,49,99,41,17,46,50,69,70,136,525,462,58,29,60,52,303,156,60,49,43,74,123,101,63,119
Jeotgalibaca arthritidis,NA,90,147,146,35,45,57,53,54,70,189,150,78,14,9,67,114,130,31,63,228,174,43,65,103,67,109,94,45,39,66,30,30,54,122,53
Jeotgalibaca dankookensis,NA,89,169,141,16,32,174,15,19,29,126,21,65,36,11,16,16,23,23,33,239,191,46,12,17,13,113,36,19,33,21,36,12,62,43,38
Jeotgalibaca sp. PTS2502,NA,53,83,76,47,35,140,31,23,232,71,21,34,32,8,167,399,403,61,157,123,78,38,26,296,290,76,494,73,84,30,38,23,86,53,37
Carnobacterium divergens,NA,395,648,453,81,78,199,124,107,108,276,34,126,58,18,62,146,186,82,134,681,634,94,47,134,96,355,184,173,89,87,97,107,170,152,96
Carnobacterium maltaromaticum,NA,374,673,544,83,117,111,131,104,244,306,72,117,107,77,113,150,214,97,262,739,589,33,40,113,107,326,305,170,43,36,71,153,113,97,80
Carnobacterium sp. 17-4,NA,144,288,259,44,46,41,57,64,134,303,122,79,31,24,42,135,167,22,112,505,464,49,42,119,91,201,183,149,47,93,43,36,73,129,62
Carnobacterium sp. CS13,NA,1,1,1,21,8,NA,22,27,NA,1,4,NA,1,2,1,NA,5,53,5,1,4,2,1,NA,1,3,6,NA,7,2,20,42,5,8,66
Carnobacterium inhibens,NA,173,344,276,33,19,19,71,13,194,147,13,37,5,1,69,194,212,40,168,385,300,10,10,148,199,135,422,38,19,20,44,8,96,55,57
Dolosigranulum pigrum,NA,286,449,332,134,150,110,170,148,414,158,62,118,38,27,117,256,334,104,243,291,239,57,48,219,224,182,447,263,168,113,101,195,268,137,202
Gemella sanguinis,NA,77514,158014,87459,61,50,171,32,38,45,11620,1388,3276,34,20,14,5,9,53,31,90505,28306,47,17,8,12,10424,11,40,37,16,33,58,80,102,53
Gemella haemolysans,NA,8828,24660,19795,187,211,69,206,232,576,524,47,225,25,9,42,171,174,144,317,20516,1805,42,57,167,115,732,204,367,52,70,63,359,122,120,160
Gemella sp. oral taxon 928,NA,270,146,191,1009,549,1461,862,840,573,255,148,314,410,227,188,186,152,772,812,386,225,407,281,214,264,341,348,667,611,288,613,1346,938,858,1501
Gemella sp. ND 6198,NA,21,16,16,737,257,960,283,300,132,21,17,22,39,34,73,79,49,222,158,7,9,88,61,77,68,85,110,423,126,131,166,657,327,550,667
Exiguobacterium sp. AT1b,NA,30,27,36,19,16,15,40,19,68,20,29,11,34,38,12,3,24,25,54,52,22,9,17,16,4,25,98,4,18,10,42,28,31,11,52
Exiguobacterium sp. Helios,NA,18,28,37,18,20,48,34,20,27,28,47,5,7,22,13,2,5,16,40,56,32,8,5,6,2,49,24,3,12,16,20,18,24,18,25
Exiguobacterium sp. N4-1P,NA,17,30,27,10,7,44,42,16,67,25,NA,3,NA,5,12,53,58,29,36,61,36,2,2,35,62,19,115,29,15,9,25,11,30,7,19
Exiguobacterium sp. ZWU0009,NA,5,7,11,NA,NA,NA,1,NA,2,1,NA,1,NA,NA,NA,3,2,1,NA,5,1,NA,NA,1,3,2,NA,NA,NA,NA,1,NA,NA,1,NA
Exiguobacterium sp. MH3,NA,4,11,11,20,10,1,40,11,73,3,NA,NA,8,NA,5,63,79,6,69,17,4,8,5,51,50,3,126,77,24,17,21,7,36,24,13
Exiguobacterium sp. U13-1,NA,3,NA,4,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,1,2,1,NA,NA,NA,NA,3,NA,1,1,NA,2,NA,3,1,1,1,14
Exiguobacterium sp. S3-2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exiguobacterium mexicanum,NA,15,14,9,36,18,19,65,35,95,5,5,8,7,5,18,6,35,25,103,12,11,8,5,16,9,18,176,3,30,20,51,31,93,26,58
Exiguobacterium antarcticum,NA,10,21,15,18,18,25,46,13,100,13,17,12,3,2,8,37,73,5,91,5,4,9,11,44,34,22,184,33,9,11,33,10,47,18,25
Exiguobacterium sibiricum,NA,5,9,9,17,18,22,44,8,83,4,16,3,NA,4,3,NA,34,6,95,21,19,1,NA,6,11,28,162,9,6,9,32,4,39,3,56
Exiguobacterium acetylicum,NA,4,NA,NA,3,3,NA,28,12,42,1,NA,NA,NA,NA,3,1,18,8,31,4,1,NA,1,9,7,NA,69,3,17,4,15,5,31,4,14
Bacillus sp. FJAT-22090,NA,67,103,90,142,114,249,312,114,580,76,8,33,44,11,26,53,258,92,506,145,90,41,27,98,85,53,1107,199,48,57,224,190,290,69,275
Bacillus sp. DSL-17,NA,66,96,81,71,49,174,135,82,63,90,60,102,145,180,66,36,42,133,55,104,134,106,67,47,34,101,57,20,82,41,75,139,112,27,89
Bacillus sp. S3,NA,63,128,97,24,20,9,68,6,163,35,4,6,1,NA,8,16,63,9,164,109,58,1,5,29,37,32,307,13,3,9,44,7,66,7,64
Bacillus sp. THAF10,NA,61,103,78,56,42,84,130,20,274,64,13,28,24,2,16,42,165,12,230,161,93,28,7,72,59,53,509,91,32,38,76,39,173,47,130
Bacillus sp. CS13,NA,59,121,108,148,192,36,223,163,387,69,4,52,37,14,17,54,120,123,391,136,109,39,38,78,51,68,459,163,25,53,112,331,185,51,169
Bacillus sp. Y1,NA,57,114,97,115,111,88,262,134,391,80,11,30,5,5,17,7,116,51,390,127,119,20,23,58,37,63,573,53,27,33,159,38,199,54,159
Bacillus sp. FJAT-45348,NA,46,83,70,71,33,5,153,25,236,38,7,38,8,7,18,10,84,25,194,58,32,2,4,35,32,29,517,30,38,26,77,26,127,21,117
Bacillus sp. NSP9.1,NA,41,82,66,152,111,46,157,145,144,47,29,20,57,38,26,8,40,140,172,160,94,46,27,36,26,54,195,94,94,20,90,228,107,47,195
Bacillus sp. PAMC26568,NA,38,51,33,56,47,7,152,15,363,28,2,6,2,2,3,1,117,19,310,75,61,4,19,36,24,30,749,15,1,10,117,37,160,14,136
Bacillus sp. SB49,NA,31,73,57,24,18,6,102,5,193,56,12,8,5,1,10,12,81,6,181,119,97,6,4,36,25,44,363,8,6,12,69,16,68,20,95
Bacillus sp. HD4P25,NA,30,46,39,103,81,62,216,100,311,58,12,88,8,7,18,8,112,63,285,88,60,14,15,43,24,77,466,36,23,45,87,160,133,47,112
Bacillus sp. X1(2014),NA,29,63,39,76,54,303,205,124,272,54,27,59,10,18,41,50,102,66,188,63,70,30,22,59,41,66,416,37,31,63,131,62,137,89,110
Bacillus sp. M4U3P1,NA,27,46,30,185,72,585,276,204,209,53,80,67,229,98,86,51,67,213,220,40,30,137,104,77,32,40,246,65,100,59,140,280,162,58,189
Bacillus sp. 1NLA3E,NA,27,49,37,101,83,142,150,79,249,11,4,5,8,5,21,40,106,62,214,24,19,20,23,52,41,14,317,76,18,28,56,135,102,86,119
Bacillus sp. FJAT-42376,NA,26,27,24,16,7,53,79,16,160,22,1,23,6,9,9,2,44,14,124,14,16,NA,7,16,11,9,278,90,19,18,43,8,80,2,69
Bacillus sp. KH172YL63,NA,25,43,56,48,37,28,159,25,292,20,21,32,33,6,20,14,116,35,235,21,31,10,15,45,47,30,613,25,21,19,99,31,133,22,127
Bacillus sp. V3,NA,24,42,37,65,53,114,171,32,409,49,19,74,29,11,30,80,214,27,336,42,22,42,18,106,77,40,717,108,48,42,128,29,200,60,153
Bacillus sp. N1-1,NA,14,27,25,70,47,3,69,54,129,5,4,4,1,1,5,6,43,122,130,34,34,5,7,13,18,18,231,18,8,6,61,158,38,6,124
Bacillus sp. FJAT-18017,NA,13,35,32,155,197,100,278,169,373,52,26,56,42,14,18,7,88,162,388,62,40,37,38,31,29,57,532,56,43,41,135,297,190,53,206
Bacillus sp. Cs-700,NA,12,21,19,74,85,8,68,82,144,7,1,32,1,4,8,28,40,63,166,49,38,11,20,44,18,22,149,67,13,22,35,155,45,17,57
Bacillus sp. BS98,NA,11,19,10,NA,NA,1,26,3,6,22,1,16,NA,NA,10,4,6,3,3,36,34,NA,NA,2,NA,18,1,NA,4,9,1,8,17,3,1
Bacillus sp. BD59S,NA,10,8,5,3,8,38,24,3,314,8,NA,NA,8,16,219,73,306,4,59,31,35,2,NA,16,13,9,128,NA,19,6,4,2,11,18,7
Bacillus sp. N3536,NA,9,5,9,5,5,NA,33,NA,70,NA,NA,NA,NA,NA,NA,NA,16,3,61,11,1,NA,NA,6,12,1,124,1,1,1,17,NA,22,NA,27
Bacillus sp. OxB-1,NA,9,16,13,248,136,58,961,32,1998,14,5,13,14,7,11,3,633,50,1749,76,58,9,6,208,227,29,3684,43,86,71,651,29,797,28,674
Bacillus sp. SYJ,NA,6,4,2,8,6,31,12,14,220,3,1,4,7,20,165,79,207,13,55,6,4,1,NA,7,7,4,86,3,22,12,10,3,9,13,8
Bacillus sp. WP8,NA,4,18,13,1,5,3,1,1,9,21,4,2,NA,1,5,1,2,1,1,36,39,NA,NA,1,1,28,2,1,4,1,NA,1,2,3,3
Bacillus sp. Lzh-5,NA,2,3,2,3,3,2,1,NA,5,8,5,1,NA,NA,3,6,13,NA,2,6,6,1,3,5,9,3,7,3,1,2,1,2,NA,3,5
Bacillus sp. ms-22,NA,1,1,NA,NA,1,NA,NA,2,4,7,1,3,1,NA,5,4,10,1,2,4,9,2,1,3,3,9,3,2,NA,1,1,2,NA,2,NA
Bacillus sp. ZY-1-1,NA,1,NA,NA,2,4,4,1,1,5,8,4,4,1,1,8,12,8,1,8,4,3,2,4,8,4,3,11,3,1,5,1,2,3,5,1
Bacillus thuringiensis,NA,129,234,175,495,527,1822,586,359,11040,258,175,154,252,503,7079,2344,10034,329,2290,287,213,130,134,688,778,187,3757,366,569,317,230,382,256,642,351
Bacillus cereus,NA,83,153,133,2559,2999,19064,5291,1185,124204,260,145,131,4006,7361,104225,25885,128875,1701,24056,216,207,795,371,5157,7292,171,44496,1236,6333,2159,2159,748,1887,5093,1499
Bacillus pseudomycoides,NA,51,74,83,150,163,227,226,153,959,49,17,43,46,43,606,181,831,154,359,44,37,54,36,60,73,32,515,65,70,46,90,314,122,86,140
Bacillus mycoides,NA,27,54,56,74,57,249,98,37,1586,28,10,21,39,65,1053,383,1470,40,345,46,42,12,9,111,158,22,662,38,77,49,41,31,42,77,53
Bacillus cytotoxicus,NA,24,38,61,109,114,138,177,75,1096,55,12,51,35,35,536,178,896,81,401,63,44,14,12,88,89,74,764,83,71,58,96,104,145,72,140
Bacillus wiedmannii,NA,23,39,24,33,42,159,46,8,1232,4,NA,2,28,85,883,302,1145,24,215,14,13,6,3,58,68,4,433,12,60,21,19,4,22,65,20
Bacillus anthracis,NA,19,31,28,286,343,1452,376,138,9116,129,115,71,161,437,6056,1910,8530,151,1812,41,29,84,69,493,609,56,3209,198,411,226,141,105,136,439,176
Bacillus luti,NA,18,25,20,41,52,269,74,14,1592,30,6,39,40,77,1032,301,1422,19,321,49,51,17,5,72,94,26,637,24,72,30,43,17,43,83,33
Bacillus sp. FDAARGOS_235,NA,2,1,1,NA,2,2,2,NA,23,4,3,NA,1,1,18,8,19,2,5,2,1,NA,1,3,3,NA,11,1,3,NA,NA,1,NA,1,NA
Bacillus albus,NA,6,15,20,76,58,353,136,33,1868,5,1,28,51,80,1184,386,1757,32,367,31,4,11,6,98,141,20,793,73,138,42,66,38,95,105,75
Bacillus bombysepticus,NA,3,6,5,NA,2,3,NA,1,24,2,1,2,NA,2,23,6,22,NA,7,7,13,1,1,NA,NA,8,16,NA,2,1,NA,2,NA,3,NA
Bacillus pacificus,NA,2,2,4,7,9,65,15,1,398,1,NA,NA,7,24,288,76,342,3,75,1,NA,1,NA,13,17,1,91,3,22,7,6,3,2,12,6
Bacillus velezensis,NA,47,108,93,131,136,89,149,125,387,263,181,149,34,29,175,255,329,93,260,138,101,71,85,222,183,124,476,173,152,137,104,104,166,207,194
Bacillus amyloliquefaciens,NA,26,38,36,55,48,43,80,29,136,76,53,68,10,14,60,74,114,28,92,37,39,18,23,59,46,56,201,45,31,58,26,32,64,65,76
Bacillus siamensis,NA,3,7,11,12,10,5,10,13,32,6,4,4,2,2,8,10,19,8,19,11,9,NA,4,15,6,10,10,13,2,5,5,8,8,8,11
Bacillus subtilis,NA,55,87,53,95,116,226,187,88,389,168,103,119,30,29,88,139,281,80,273,180,110,53,51,150,109,115,571,95,58,89,104,67,137,117,193
Bacillus mojavensis,NA,15,25,24,72,15,12,120,51,98,20,63,15,70,19,46,8,35,108,111,53,30,50,53,55,11,27,184,10,97,21,70,78,99,17,120
Bacillus halotolerans,NA,5,3,3,16,14,11,52,10,191,19,12,10,4,1,56,176,186,16,159,10,9,8,11,112,162,6,383,21,8,15,50,5,51,22,30
Bacillus sonorensis,NA,20,14,16,59,50,165,145,112,154,22,56,35,19,23,41,13,69,75,156,26,21,33,13,22,12,54,271,22,103,62,94,62,147,44,121
Bacillus atrophaeus,NA,14,36,24,18,11,NA,93,28,97,2,6,8,3,2,5,7,26,5,91,11,4,1,1,15,7,5,192,4,12,5,50,12,46,8,43
Bacillus vallismortis,NA,6,4,7,10,5,7,13,2,26,4,1,1,3,2,5,3,16,3,18,4,2,2,3,3,4,4,73,3,3,2,14,2,20,2,19
Bacillus licheniformis,NA,4,3,3,22,19,159,28,9,53,20,7,40,19,4,19,20,28,12,31,8,8,23,15,17,12,19,85,14,17,8,33,18,46,15,22
Bacillus tequilensis,NA,4,7,8,21,21,45,49,16,78,5,NA,1,NA,1,NA,2,12,7,60,16,27,5,2,8,7,13,134,25,5,4,24,11,38,8,32
Bacillus paralicheniformis,NA,3,6,3,39,59,41,54,57,92,2,1,7,1,3,3,4,19,21,88,8,10,2,10,13,8,23,123,30,11,9,28,12,30,22,53
Bacillus spizizenii,NA,2,4,4,1,9,3,3,4,4,5,5,3,1,2,4,5,12,2,3,8,1,NA,1,9,6,4,8,4,NA,4,1,4,1,2,6
Bacillus circulans,NA,139,227,178,147,48,260,291,150,488,92,28,50,8,10,55,87,246,59,428,253,209,18,16,105,122,138,895,75,85,52,219,113,255,70,238
Bacillus cohnii,NA,103,125,88,26,21,3,114,8,186,49,11,46,3,1,11,5,79,11,148,156,111,3,9,22,26,86,397,15,8,19,63,19,94,16,81
Bacillus pumilus,NA,82,215,169,106,104,171,255,82,500,84,28,50,31,14,35,59,207,80,436,226,190,47,30,106,94,103,783,172,44,47,174,150,209,56,188
Bacillus horikoshii,NA,73,107,83,69,49,5,159,32,339,45,5,20,3,3,18,11,112,43,308,118,91,6,17,41,37,40,629,19,11,14,114,58,148,27,130
Bacillus sporothermodurans,NA,53,74,77,29,34,100,52,21,94,50,24,57,34,5,19,26,71,16,99,31,16,40,18,48,24,25,222,38,29,31,41,14,77,41,57
Bacillus marisflavi,NA,48,112,101,137,137,258,285,101,516,82,31,75,42,10,42,34,199,78,419,120,103,49,30,62,66,97,910,75,57,49,194,105,256,97,235
Bacillus oleronius,NA,45,69,52,149,144,166,211,123,346,51,19,67,23,15,24,14,126,111,357,141,107,22,19,42,45,76,555,182,30,41,148,185,194,84,199
Bacillus dafuensis,NA,41,63,44,91,67,209,204,22,364,47,10,75,46,13,21,50,181,38,321,77,82,54,21,90,67,68,822,97,50,26,126,49,242,65,140
Bacillus ciccensis,NA,34,60,37,56,22,3,192,15,389,29,12,23,5,2,18,69,224,10,312,49,41,18,10,88,76,49,763,102,12,31,109,8,184,24,146
Bacillus weihaiensis,NA,34,49,47,26,25,20,124,6,271,24,17,14,4,2,19,21,104,10,209,54,36,1,4,44,38,34,479,23,9,19,98,12,102,15,83
Bacillus altitudinis,NA,28,41,42,36,30,16,65,16,151,58,30,41,9,16,39,57,88,24,112,55,36,13,16,57,38,44,220,44,21,36,52,35,54,38,84
Bacillus cellulosilyticus,NA,23,23,37,61,67,28,136,74,273,28,8,26,9,5,23,67,152,32,224,48,51,25,23,81,81,40,452,109,23,51,83,40,141,58,113
Bacillus vietnamensis,NA,23,39,44,34,24,75,97,15,169,25,5,25,8,10,6,8,75,15,177,63,57,8,6,26,22,50,354,122,6,25,74,12,91,6,69
Bacillus beveridgei,NA,23,33,25,57,15,27,95,16,122,17,1,15,7,9,6,5,48,24,98,47,23,2,2,11,17,35,232,9,94,18,55,33,99,28,86
Bacillus safensis,NA,20,18,27,35,13,13,44,37,55,17,7,6,NA,1,12,9,31,57,34,19,8,2,2,12,10,8,82,7,13,11,43,39,19,17,72
Bacillus glycinifermentans,NA,19,27,36,42,28,17,99,59,138,6,9,5,10,20,52,4,52,69,115,16,5,10,26,17,16,14,241,7,49,30,87,53,96,36,105
Bacillus gobiensis,NA,19,31,28,105,98,160,224,113,408,44,10,55,33,2,37,68,167,99,378,62,42,37,25,96,83,29,738,98,41,29,152,142,221,73,168
Bacillus vini,NA,18,36,29,80,112,82,207,60,416,47,19,29,46,23,43,13,129,66,363,50,41,45,73,62,40,26,568,41,19,27,121,129,149,38,135
Bacillus smithii,NA,16,35,17,40,24,17,188,10,338,4,14,1,11,4,7,10,131,18,299,12,6,15,20,51,41,3,595,76,21,13,134,25,134,NA,102
